class,feature_2,feature_3,feature_4,feature_5,feature_7,feature_9,feature_11,feature_12,feature_13,feature_14,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,"feature_8,feature_15","feature_21,feature_10","feature_1,feature_6"
p,t@,d,v*,&l,&j,c,&Q,t,#e,m,t,&j,U,T,,U,"c,j","*t,u",
p,d@,,v&,l&,F,?,e,a,e#,U,t#,,h,u,&j,#u,"O,I","t,c"," t,e "
e,v  ,d,T,l,F,a&,Q,&T,e,&w,,j,,*t,h#,u,"c,e","&d,c","t,e"
p,@m,a#,,l#,F#,,E,u,E,,t*,i,e,, e ,u&,"c,i","d,w","b,e"
p,m&,a,v,,&h,A,q,m,e,k@,t,i#,e,d&,#e,@u,"c,i&","a,w","b,e"
e,d&,A,v*,l,v,,i@,d*,p,w,,j@,d,l  ,J#,u&,"c,j","l,u&","h,e#"
e,m,&A,&t,l#,p*,c&,q,u*,,m,t,,&d,t,#e,U&,"O,E","t,c@","d,e"
e,m,a,t,@l,p,C,&q,u,e&,m#,t*,@e,d,T@,@e,u#,,"T,C",
e,t@,a,T,o*,j,?@,q&,u@,e*,m,,#i,d,t,J,U,"c,i","t,u&","t,e"
e,,A,v,,v,?,e,l*,*p,w,D,j,D,l#,,&U,"C,J","@l,u","l,e"
e,t,a,T,,@j,c#,Q#,,& e ,m,t,e,D,,&J,u,"o,e","t,c"," i,e *"
p,h,,v&,L,#f,a#,e,u  ,#e,,T&,i,e,d*,h,u,"c,i&",,"b,e"
e,M,a,t,*l,j,c,E@, d &,e&,m&,T,&e,d  @,T,,u,"o,j","T,C&","@d,e"
e,m,A#,@v,l,,@a,@e,d&,e&,#K,T,j,*d,t&,h,u,,"u,u","i,o"
e,H#,a,v,#l,d,*v,q,*D,e,m&,&t,@J,P  ,,j&,,"c,j","t,u",
p,d*,d  ,V,,#f,?*,q,a*,e,u,t,,e,T,h#,@u  ,"o,j@","t,c","t,e*"
